data_type,title,url,date,author,imagename,excerpt,publisher,published_year,published_month,authors_pub,journal,volume,issue,source_media
Media Mention,Integrating Satellite Data with Local Knowledge for Community Empowerment,https://servir.icrisat.org/integrating-satellite-data-with-local-knowledge-for-community-empowerment/,5/13/24,,,,,,,,,,,servir.icrisat.org
Media Mention,Automated Weather Insurance Could Offer Help in an Increasingly Hot World,https://www.bloomberg.com/news/articles/2023-07-10/during-wildfire-hurricane-season-new-weather-insurance-could-help-homeowners?embedded-checkout=true,7/10/23,,,,,,,,,,,bloomberg.com
Media Mention,How is climate change limiting access to insurance?,https://www.eco-business.com/news/how-is-climate-change-limiting-access-to-insurance/,6/5/23,,,,,,,,,,,eco-business.com
Media Mention,How is climate change limiting access to insurance?,https://www.context.news/climate-risks/how-is-climate-change-limiting-access-to-insurance,5/31/23,,,,,,,,,,,context.news
Media Mention,Study Findings from Columbia University Broaden Understanding of Agriculture,https://insurancenewsnet.com/oarticle/study-findings-from-columbia-university-broaden-understanding-of-agriculture-an-information-theoretic-approach-to-reconciling-historical-climate-observations-and-impacts-on-agriculture-agriculture,10/25/22,,,,,,,,,,,insurancenewsnet.com
Media Mention,Using Tech to Help African Farmers Collect Index Insurance Payouts,https://www.engineering.columbia.edu/news/using-tech-help-african-farmers-collect-payouts,9/15/22,,,,,,,,,,,engineering.columbia.edu
Media Mention,Voices of CS: Zachary Huang,https://www.cs.columbia.edu/2022/voices-of-cs-zachary-huang/,8/31/22,,,,,,,,,,,cs.columbia.edu
Media Mention,Analysis: As cities bake on a warming planet insurers cook up heatwave cover,https://www.reuters.com/article/heatwave-insurance-climatechange/analysis-as-cities-bake-on-a-warming-planet-insurers-cook-up-heatwave-cover-idUSL8N2GS56K,1/20/21,,,,,,,,,,,reuters.com
Media Mention,Bangladesh: Climate risk insurance gets major boost,https://www.asiainsurancereview.com/News/View-NewsLetter-Article/id/72453/Type/eDaily/Bangladesh-Climate-risk-insurance-gets-major-boost,1/4/21,,,,,,,,,,,asiainsurancereview.com
Media Mention,What Happens When Natural Disaster Strikes During a Pandemic?,http://www.ilstv.com/what-happens-when-natural-disaster-strikes-during-a-pandemic/,4/24/20,,,,,,,,,,,ilstv.com
Media Mention,Climate and agriculture: From local to global impacts,https://www.eesi.org/articles/view/climate-and-agriculture-from-local-to-global-impacts,9/17/18,,,,,,,,,,,eesi.org
Media Mention,A global index insurance design for agriculture,http://agfax.com/2018/09/04/a-global-index-insurance-design-for-agriculture/,9/4/18,,,,,,,,,,,agfax.com
Media Mention,A global index insurance design for agriculture,https://www.engineering.columbia.edu/news/global-index-insurance-design-agriculture,8/20/18,,,,,,,,,,,engineering.columbia.edu
Media Mention,India: Parametric insurance for agricultural risks – A way forward,https://www.business-standard.com/article/finance/india-parametric-insurance-for-agricultural-risks-a-way-forward-118020800049_1.html,2/8/18,,,,,,,,,,,business-standard.com
Media Mention,New IRI research on agricultural index insurance in Africa,https://www.youtube.com/watch?v=W0-h30v-H0Y,6/15/17,,,,,,,,,,,youtube.com
Media Mention,Agricultural Insurance: Can Technology Boost the Safety Net?,https://www.agri-business.com/agribusiness-news/agricultural-insurance-can-technology-boost-the-safety-net,6/12/17,,,,,,,,,,,agri-business.com
Media Mention,Index Insurance for Agriculture,http://news.columbia.edu/tag/index-insurance-for-agriculture,3/24/17,,,,,,,,,,,news.columbia.edu
Media Mention,Q&A: Using Climate Data to Protect Farmers Against Shocks,http://blogs.ei.columbia.edu/2017/02/09/qa-using-climate-data-to-protect-farmers-against-shocks/,2/9/17,,,,,,,,,,,blogs.ei.columbia.edu
Media Mention,Better Index Insurance for Farmers,http://www.earthzine.org/2016/11/17/better-index-insurance-for-farmers/,11/17/16,,,,,,,,,,,earthzine.org
Media Mention,Better Index Insurance for Farmers,http://www.columbia.edu/content/better-index-insurance-farmers,9/19/16,,,,,,,,,,,columbia.edu
Media Mention,Better Index Insurance for Farmers,http://www.sciencemag.org/content/353/6304/1105.summary,9/9/16,,,,,,,,,,,sciencemag.org
Media Mention,Q&A: The Importance of Climate in Agriculture,http://blogs.ei.columbia.edu/2016/08/18/qa-the-importance-of-climate-in-agriculture/,8/18/16,,,,,,,,,,,blogs.ei.columbia.edu
Media Mention,Insurance for Africa’s Rain-fed Farmers,http://blogs.ei.columbia.edu/2016/04/14/insurance-for-africas-rain-fed-farmers/,4/14/16,,,,,,,,,,,blogs.ei.columbia.edu
Media Mention,Q&A: Getting Farmers Ready for a Changing Climate,http://blogs.ei.columbia.edu/2015/05/29/qa-getting-farmers-ready-for-a-changing-climate/,5/29/15,,,,,,,,,,,blogs.ei.columbia.edu
Media Mention,Making climate risk data actionable,http://www.fao.org/in-action/glofard/news-detail/en/c/280036/,4/1/15,,,,,,,,,,,fao.org
Media Mention,Building climate resilience in agriculture,http://blogs.ei.columbia.edu/2015/02/10/building-climate-resilience-in-agriculture/,2/10/15,,,,,,,,,,,blogs.ei.columbia.edu
Media Mention,Ganaderos participarán de un simulacro de funcionamiento del primer seguro de índice de sequía,http://www.lainformacion.com.do/noticias/economia/17220/ganaderos-participaran-de-un-simulacro-de-funcionamiento-del-primer-seguro-de-indice-de-sequia,1/27/14,,,,,,,,,,,lainformacion.com.do
Media Mention,Ganaderos participarán en un simulacro sobre índice de sequía,http://hoy.com.do/ganaderos-participaran-en-un-simulacro-sobre-indice-de-sequia/,1/27/14,,,,,,,,,,,hoy.com.do
Media Mention,A call to action: building an index insurance community in Bangladesh,http://www.ccafs.cgiar.org/blog/call-action-building-index-insurance-community-bangladesh#.Umqfc5GrH1t,10/9/13,,,,,,,,,,,ccafs.cgiar.org
Media Mention,USAID impulsará seguro para agricultores,http://www.diariolibre.com/noticias/2013/02/12/i371097_usaid-impulsara-seguro-para-agricultores.html?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_1,2/12/13,,,,,,,,,,,diariolibre.com
News/Feature,Celebrating Women in Science: Sari Blakeley,https://iri.columbia.edu/news/celebrating-women-in-science-sari-blakeley/,2/15/24,IRI,Celebrating_Women_in_Science__Sari_Blakeley.png,"Adapted from a story written by Olga Rukovets for the State of the Planet news site. Sari Blakeley did not always dream of a career in science. In fact, when she was younger, her understanding of “science” always involved “people in lab coats pipetting liquids over a Bunsen burner.” Over time, her perspective on science [&hellip;]",,,,,,,,
News/Feature,Crowdsourcing to Build Better Insurance,https://iri.columbia.edu/news/crowdsourcing-insurance/,4/7/22,Francesco Fiondella,Crowdsourcing_to_Build_Better_Insurance.jpeg,"In order to offer protective insurance to even greater numbers of smallholder farmers, in 2021 ACToday began testing mobile crowdsourcing apps that tap into the experiences and memories of farmers themselves.",,,,,,,,
News/Feature,IRI at COP26 &#8211; Mélody Braun on Why COP Matters,https://iri.columbia.edu/news/iri-at-cop26-melody-braun-on-why-cop-matters/,11/2/21,Brynne Wilcox,,"The United Nations’ twenty-sixth Conference of the Parties, or COP26, is taking place in Glasgow, Scotland from October 30 to November 12. The COP is the largest and most important international meeting on climate change. The countries involved come together to make a number of crucial decisions to stabilize greenhouse gas emissions in order to [&hellip;]",,,,,,,,
News/Feature,"In New Project, Millions of Farmers Will Help to Improve Insurance Against Climate Disasters",https://iri.columbia.edu/news/in-new-project-millions-of-farmers-will-help-to-improve-insurance-against-climate-disasters/,10/29/21,IRI,In_New_Project__Millions_of_Farmers_Will_Help_to_I.jpg,"This story was originally written by Kristin French and published on the State of the Planet blog. Megafires, extreme weather, locust swarms, pandemics: These are just some of the many natural disasters that have devastated farmers in recent years, destroying livelihoods and leaving hunger in their wake. Between 2008 and 2018, disasters cost the agricultural [&hellip;]",,,,,,,,
News/Feature,Index Insurance for Madagascar’s Groundnut Farmers,https://iri.columbia.edu/news/index-insurance-for-madagascars-groundnut-farmers/,10/5/21,IRI,Index_Insurance_for_Madagascar_s_Groundnut_Farmers.jpg,by Yohana Tesfamariam Tekeste and Souha Ouni Designing financial tools and processes that help farmers bounce back from droughts and other extreme weather events is a crucial part of their strategy to adapt to longer-term climate change. The Financial Instruments Sector Team (FISTeam) of the International Research Institute for Climate and Society has been an [&hellip;],,,,,,,,
News/Feature,Insurance Tools for Climate Adaptation: Q&#038;A with Rahel Diro,https://iri.columbia.edu/news/insurance-tools-for-climate-adaptation-qa-with-rahel-diro/,8/31/21,Jacquelyn Turner,,The world’s 570 million smallholder farmers are among the most vulnerable to the impacts of current and future climate variability and climate change. They need support and science-based strategies to make their communities resilient to these impacts and enable them to have sustainable livelihoods no matter what the climate might bring. One adaptation strategy being [&hellip;],,,,,,,,
News/Feature,iKON: Playing to Adapt,https://iri.columbia.edu/news/ikon-playing-to-adapt/,8/5/21,IRI,,"Climate risk instruments are designed to help farmers adapt to climate variability and change. These instruments are usually driven by data from satellites and weather stations, but these data sets can be improved over time using community-sourced observation data. Currently, such farmer data collection is limited to small-scale focus groups. However, increasing constraints on direct [&hellip;]",,,,,,,,
News/Feature,2021 ACToday Highlight: Helping Provide Insurance to a Million Smallholder Farmers,https://iri.columbia.edu/news/2021-actoday-highlight-helping-provide-insurance-to-a-million-smallholder-farmers/,5/11/21,IRI,2021_ACToday_Highlight__Helping_Provide_Insurance_.jpg,"This story was published as part of the Adapting Agriculture to Climate Today, for Tomorrow (ACToday) Columbia World Project 2021 Report. Read the full report here. Since its launch in 2017, ACToday has invested in forecasts, monitoring tools and other information products to help government agencies, humanitarian organizations and farmers better plan for droughts and [&hellip;]",,,,,,,,
News/Feature,Improving Risk Indicators: Introducing the Next Generation Drought Index Project,https://iri.columbia.edu/news/improving-risk-indicators-introducing-the-next-generation-drought-index-project/,3/11/21,Jacquelyn Turner,Improving_Risk_Indicators__Introducing_the_Next_Ge.jpg,"Across the globe, food security continues to be a significant challenge, one that is estimated to increase with the compounding factors of the COVID-19 pandemic and climate change. The Next Generation Drought Index (NGDI) project addresses this challenge by leveraging satellite technology and drought modeling to provide&nbsp;humanitarian and development agencies&nbsp;access to the latest and most [&hellip;]",,,,,,,,
News/Feature,Climate Risk Insurance for Colombia&#8217;s Smallholder Rice Farmers,https://iri.columbia.edu/news/climate-risk-insurance-for-colombias-smallholder-rice-farmers/,5/29/20,Francesco Fiondella,,"The Adapting Agriculture to Climate Today, for Tomorrow (ACToday) Columbia World Project has helped create advanced and sustainable climate services around the world tailored for agricultural decision making. Countries are using these new services to manage many of the climate-related risks to their food systems. But even the best climate services by themselves cannot manage [&hellip;]",,,,,,,,
News/Feature,ACToday Columbia World Project enabling insurance to reach a million farmers in Ethiopia,https://iri.columbia.edu/news/actoday-enabling-insurance-to-reach-a-million-farmers-in-ethiopia/,4/7/20,Francesco Fiondella,ACToday_Columbia_World_Project_enabling_insurance_.jpg,"The Adapting Agriculture to Climate Today, for Tomorrow Columbia World Project (ACToday) has been working with its Ethiopian partners to create new climate tools for decision makers working in agriculture and food security. These investments are now directly enabling the World Food Programme (WFP) to reach its 2022 target of providing a million smallholder farmers in Ethiopia with affordable insurance against droughts and other climate risks.",,,,,,,,
News/Feature,IRI@AGU: Crossing the &#8216;Predictability Desert&#8217;,https://iri.columbia.edu/news/crossing-the-predictability-desert/,12/9/19,Jacquelyn Turner,,"Until recently, predicting rainfall and temperature at the subseasonal timescale (i.e. between two weeks and three months) was considered impossible. That’s beginning to change, thanks to the efforts of IRI&#8217;s Andrew Robertson, the head of IRI&#8217;s climate group and co-chair of the steering group of the Subseasonal to Seasonal (S2S) Prediction Project. &nbsp;In the Q&amp;A [&hellip;]",,,,,,,,
